N_Scheduler,N_Available_Scheduler,Time,N_processes,N_products
8,8,0,1,1,
8,8,0,1,501,
8,8,0,1,1001,
8,8,0,1,1501,
8,8,0,1,2001,
8,8,0,1,2501,
8,8,0,1,3001,
8,8,0,1,3501,
8,8,0,1,4001,
8,8,0,1,4501,
8,8,0,1,5001,
8,8,0,1,5501,
8,8,0,1,6001,
8,8,0,1,6501,
8,8,0,1,7001,
8,8,0,1,7501,
8,8,0,1,8001,
8,8,0,1,8501,
8,8,0,1,9001,
8,8,0,1,9501,
8,8,0,1,10001,
8,8,0,2,1,
8,8,0,2,501,
8,8,0,2,1001,
8,8,0,2,1501,
8,8,0,2,2001,
8,8,0,2,2501,
8,8,0,2,3001,
8,8,0,2,3501,
8,8,0,2,4001,
8,8,0,2,4501,
8,8,0,2,5001,
8,8,0,2,5501,
8,8,0,2,6001,
8,8,0,2,6501,
8,8,0,2,7001,
8,8,0,2,7501,
8,8,0,2,8001,
8,8,0,2,8501,
8,8,0,2,9001,
8,8,0,2,9501,
8,8,0,2,10001,
8,8,0,3,1,
8,8,0,3,501,
8,8,0,3,1001,
8,8,0,3,1501,
8,8,0,3,2001,
8,8,0,3,2501,
8,8,0,3,3001,
8,8,0,3,3501,
8,8,2,3,4001,
8,8,0,3,4501,
8,8,0,3,5001,
8,8,0,3,5501,
8,8,0,3,6001,
8,8,0,3,6501,
8,8,0,3,7001,
8,8,0,3,7501,
8,8,0,3,8001,
8,8,0,3,8501,
8,8,0,3,9001,
8,8,0,3,9501,
8,8,0,3,10001,
8,8,0,4,1,
8,8,0,4,501,
8,8,0,4,1001,
8,8,1,4,1501,
8,8,0,4,2001,
8,8,0,4,2501,
8,8,0,4,3001,
8,8,0,4,3501,
8,8,0,4,4001,
8,8,0,4,4501,
8,8,0,4,5001,
8,8,0,4,5501,
8,8,0,4,6001,
8,8,0,4,6501,
8,8,0,4,7001,
8,8,0,4,7501,
8,8,0,4,8001,
8,8,0,4,8501,
8,8,0,4,9001,
8,8,0,4,9501,
8,8,0,4,10001,
8,8,0,5,1,
8,8,0,5,501,
8,8,0,5,1001,
8,8,0,5,1501,
8,8,0,5,2001,
8,8,0,5,2501,
8,8,0,5,3001,
8,8,0,5,3501,
8,8,0,5,4001,
8,8,0,5,4501,
8,8,0,5,5001,
8,8,0,5,5501,
8,8,0,5,6001,
8,8,0,5,6501,
8,8,0,5,7001,
8,8,0,5,7501,
8,8,0,5,8001,
8,8,0,5,8501,
8,8,0,5,9001,
8,8,0,5,9501,
8,8,0,5,10001,
8,8,0,6,1,
8,8,0,6,501,
8,8,0,6,1001,
8,8,0,6,1501,
8,8,0,6,2001,
8,8,0,6,2501,
8,8,0,6,3001,
8,8,0,6,3501,
8,8,0,6,4001,
8,8,0,6,4501,
8,8,0,6,5001,
8,8,0,6,5501,
8,8,0,6,6001,
8,8,0,6,6501,
8,8,0,6,7001,
8,8,0,6,7501,
8,8,0,6,8001,
8,8,0,6,8501,
8,8,0,6,9001,
8,8,0,6,9501,
8,8,0,6,10001,
8,8,0,7,1,
8,8,0,7,501,
8,8,0,7,1001,
8,8,0,7,1501,
8,8,0,7,2001,
8,8,0,7,2501,
8,8,0,7,3001,
8,8,0,7,3501,
8,8,0,7,4001,
8,8,0,7,4501,
8,8,0,7,5001,
8,8,0,7,5501,
8,8,0,7,6001,
8,8,0,7,6501,
8,8,0,7,7001,
8,8,0,7,7501,
8,8,0,7,8001,
8,8,0,7,8501,
8,8,0,7,9001,
8,8,0,7,9501,
8,8,0,7,10001,
8,8,0,8,1,
8,8,0,8,501,
8,8,0,8,1001,
8,8,0,8,1501,
8,8,0,8,2001,
8,8,0,8,2501,
8,8,0,8,3001,
8,8,0,8,3501,
8,8,0,8,4001,
8,8,0,8,4501,
8,8,0,8,5001,
8,8,0,8,5501,
8,8,0,8,6001,
8,8,0,8,6501,
8,8,0,8,7001,
8,8,0,8,7501,
8,8,0,8,8001,
8,8,0,8,8501,
8,8,0,8,9001,
8,8,0,8,9501,
8,8,0,8,10001,
8,8,0,16,1,
8,8,0,16,501,
8,8,0,16,1001,
8,8,0,16,1501,
8,8,0,16,2001,
8,8,0,16,2501,
8,8,0,16,3001,
8,8,0,16,3501,
8,8,0,16,4001,
8,8,0,16,4501,
8,8,0,16,5001,
8,8,0,16,5501,
8,8,0,16,6001,
8,8,0,16,6501,
8,8,0,16,7001,
8,8,0,16,7501,
8,8,0,16,8001,
8,8,0,16,8501,
8,8,0,16,9001,
8,8,1,16,9501,
8,8,0,16,10001,
