N_Scheduler,Time,N_processes,N_products
1,9,1,1
1,26,1,501
1,35,1,1001
1,52,1,1501
1,129,1,2001
1,88,1,2501
1,112,1,3001
1,132,1,3501
1,139,1,4001
1,195,1,4501
1,127,1,5001
1,154,1,5501
1,169,1,6001
1,150,1,6501
1,158,1,7001
1,181,1,7501
1,169,1,8001
1,190,1,8501
1,527,1,9001
1,375,1,9501
1,323,1,10001
1,13,2,1
1,63,2,501
1,59,2,1001
1,94,2,1501
1,100,2,2001
1,165,2,2501
1,191,2,3001
1,299,2,3501
1,229,2,4001
1,262,2,4501
1,245,2,5001
1,292,2,5501
1,389,2,6001
1,479,2,6501
1,454,2,7001
1,490,2,7501
1,416,2,8001
1,401,2,8501
1,629,2,9001
1,698,2,9501
1,639,2,10001
1,20,3,1
1,97,3,501
1,164,3,1001
1,204,3,1501
1,149,3,2001
1,248,3,2501
1,284,3,3001
1,377,3,3501
1,415,3,4001
1,505,3,4501
1,338,3,5001
1,497,3,5501
1,533,3,6001
1,560,3,6501
1,699,3,7001
1,754,3,7501
1,574,3,8001
1,737,3,8501
1,1201,3,9001
1,1067,3,9501
1,837,3,10001
1,25,4,1
1,101,4,501
1,159,4,1001
1,235,4,1501
1,239,4,2001
1,394,4,2501
1,359,4,3001
1,404,4,3501
1,420,4,4001
1,440,4,4501
1,420,4,5001
1,639,4,5501
1,730,4,6001
1,649,4,6501
1,743,4,7001
1,863,4,7501
1,795,4,8001
1,746,4,8501
1,1304,4,9001
1,1752,4,9501
1,1339,4,10001
1,27,5,1
1,93,5,501
1,139,5,1001
1,229,5,1501
1,213,5,2001
1,342,5,2501
1,368,5,3001
1,477,5,3501
1,586,5,4001
1,577,5,4501
1,544,5,5001
1,748,5,5501
1,1005,5,6001
1,1088,5,6501
1,1421,5,7001
1,1122,5,7501
1,1264,5,8001
1,1390,5,8501
1,1574,5,9001
1,1842,5,9501
1,2392,5,10001
1,51,6,1
1,182,6,501
1,258,6,1001
1,319,6,1501
1,298,6,2001
1,368,6,2501
1,450,6,3001
1,544,6,3501
1,851,6,4001
1,906,6,4501
1,785,6,5001
1,942,6,5501
1,1036,6,6001
1,1246,6,6501
1,1275,6,7001
1,1331,6,7501
1,1186,6,8001
1,1113,6,8501
1,2344,6,9001
1,2153,6,9501
1,2154,6,10001
1,70,7,1
1,143,7,501
1,258,7,1001
1,376,7,1501
1,383,7,2001
1,457,7,2501
1,527,7,3001
1,759,7,3501
1,849,7,4001
1,808,7,4501
1,888,7,5001
1,1227,7,5501
1,1110,7,6001
1,1271,7,6501
1,1432,7,7001
1,1253,7,7501
1,1307,7,8001
1,1482,7,8501
1,2221,7,9001
1,2085,7,9501
1,1867,7,10001
1,49,8,1
1,196,8,501
1,277,8,1001
1,401,8,1501
1,366,8,2001
1,474,8,2501
1,855,8,3001
1,764,8,3501
1,1036,8,4001
1,1242,8,4501
1,1164,8,5001
1,1537,8,5501
1,1771,8,6001
1,1590,8,6501
1,1379,8,7001
1,1577,8,7501
1,2212,8,8001
1,2101,8,8501
1,2626,8,9001
1,3655,8,9501
1,2767,8,10001
1,122,16,1
1,373,16,501
1,575,16,1001
1,799,16,1501
1,698,16,2001
1,1029,16,2501
1,1736,16,3001
1,1524,16,3501
1,1731,16,4001
1,2237,16,4501
1,1771,16,5001
1,2581,16,5501
1,3249,16,6001
1,3013,16,6501
1,3216,16,7001
1,3225,16,7501
1,4090,16,8001
1,3070,16,8501
1,5287,16,9001
1,5603,16,9501
1,4594,16,10001
1,110,24,1
1,472,24,501
1,678,24,1001
1,1105,24,1501
1,1101,24,2001
1,1417,24,2501
1,2537,24,3001
1,2451,24,3501
1,2723,24,4001
1,3114,24,4501
1,2892,24,5001
1,4623,24,5501
1,4023,24,6001
1,4651,24,6501
1,5744,24,7001
1,5190,24,7501
1,5154,24,8001
1,6404,24,8501
1,8467,24,9001
1,8782,24,9501
1,7888,24,10001
1,156,32,1
1,680,32,501
1,1236,32,1001
1,1649,32,1501
1,1402,32,2001
1,2087,32,2501
1,2934,32,3001
1,3046,32,3501
1,3682,32,4001
1,4694,32,4501
1,4838,32,5001
1,6840,32,5501
1,6106,32,6001
1,6394,32,6501
1,6215,32,7001
1,7385,32,7501
1,7272,32,8001
1,7115,32,8501
1,9565,32,9001
1,10907,32,9501
1,9892,32,10001
1,138,40,1
1,751,40,501
1,1230,40,1001
1,1703,40,1501
1,1744,40,2001
1,3259,40,2501
1,3542,40,3001
1,4315,40,3501
1,5141,40,4001
1,6688,40,4501
1,6528,40,5001
1,7753,40,5501
1,8691,40,6001
1,8964,40,6501
1,7920,40,7001
1,9313,40,7501
1,9444,40,8001
1,9839,40,8501
1,14505,40,9001
1,12996,40,9501
1,13095,40,10001
1,157,48,1
1,819,48,501
1,1205,48,1001
1,2068,48,1501
1,2401,48,2001
1,3131,48,2501
1,4503,48,3001
1,4642,48,3501
1,5472,48,4001
1,6633,48,4501
1,6414,48,5001
1,8729,48,5501
1,8740,48,6001
1,9379,48,6501
1,10571,48,7001
1,10817,48,7501
1,11074,48,8001
1,10970,48,8501
1,16110,48,9001
1,15959,48,9501
1,16525,48,10001
1,357,120,1
1,1835,120,501
1,2933,120,1001
1,6389,120,1501
1,7135,120,2001
1,10392,120,2501
1,11376,120,3001
1,13197,120,3501
1,16588,120,4001
1,20269,120,4501
1,17926,120,5001
1,25235,120,5501
1,24254,120,6001
1,35513,120,6501
1,30298,120,7001
1,27751,120,7501
1,31186,120,8001
1,30906,120,8501
1,42139,120,9001
1,44305,120,9501
