N_Scheduler,N_Available_Sched,Time,N_processes,N_products,N_processes*N_products,N_products*N_process / time,N_products*N_processes/ (time*n_process),N_products*N_process/(time*N_Schedulers),N_products*N_processes/(time*N_processes*N_Schedulers)
1,8,102,1,1,1,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745
1,8,204,1,501,501,2.4558823529411766,2.4558823529411766,2.4558823529411766,2.4558823529411766
1,8,3379,501,1,501,0.14826871855578574,2.959455460195324e-4,0.14826871855578574,2.959455460195324e-4
1,8,32460,501,501,251001,7.732624768946396,0.015434380776340111,7.732624768946396,0.0154343807763401111,8,102,2,1,2,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.00980392156862745
1,8,307,2,501,1002,3.263843648208469,1.6319218241042346,3.263843648208469,1.6319218241042346
1,8,307,2,1001,2002,6.521172638436482,3.260586319218241,6.521172638436482,3.260586319218241
1,8,102,2,1501,3002,29.431372549019606,14.715686274509803,29.431372549019606,14.715686274509803
1,8,409,2,2001,4002,9.78484107579462,4.89242053789731,9.78484107579462,4.89242053789731
1,8,307,2,2501,5002,16.293159609120522,8.146579804560261,16.293159609120522,8.146579804560261
1,8,307,2,3001,6002,19.550488599348533,9.775244299674267,19.550488599348533,9.775244299674267
1,8,307,2,3501,7002,22.807817589576548,11.403908794788274,22.807817589576548,11.403908794788274
1,8,102,2,4001,8002,78.45098039215686,39.22549019607843,78.45098039215686,39.22549019607843
1,8,409,2,4501,9002,22.009779951100246,11.004889975550123,22.009779951100246,11.004889975550123
1,8,512,2,5001,10002,19.53515625,9.767578125,19.53515625,9.767578125
1,8,409,2,5501,11002,26.899755501222494,13.449877750611247,26.899755501222494,13.449877750611247
1,8,512,2,6001,12002,23.44140625,11.720703125,23.44140625,11.720703125
1,8,819,2,6501,13002,15.875457875457876,7.937728937728938,15.875457875457876,7.937728937728938
1,8,819,2,7001,14002,17.096459096459096,8.548229548229548,17.096459096459096,8.548229548229548
1,8,921,2,7501,15002,16.288816503800216,8.144408251900108,16.288816503800216,8.144408251900108
1,8,921,2,8001,16002,17.37459283387622,8.68729641693811,17.37459283387622,8.68729641693811
1,8,716,2,8501,17002,23.74581005586592,11.87290502793296,23.74581005586592,11.87290502793296
1,8,614,2,9001,18002,29.319218241042346,14.659609120521173,29.319218241042346,14.659609120521173
1,8,614,2,9501,19002,30.94788273615635,15.473941368078176,30.94788273615635,15.473941368078176
1,8,819,2,10001,20002,24.42246642246642,12.21123321123321,24.42246642246642,12.21123321123321
1,8,614,2,10501,21002,34.20521172638436,17.10260586319218,34.20521172638436,17.10260586319218
1,8,1638,2,11001,22002,13.432234432234432,6.716117216117216,13.432234432234432,6.716117216117216
1,8,1024,2,11501,23002,22.462890625,11.2314453125,22.462890625,11.2314453125
1,8,1126,2,12001,24002,21.316163410301954,10.658081705150977,21.316163410301954,10.658081705150977
1,8,1228,2,12501,25002,20.359934853420196,10.179967426710098,20.359934853420196,10.179967426710098
1,8,921,2,13001,26002,28.232356134636266,14.116178067318133,28.232356134636266,14.116178067318133
1,8,921,2,13501,27002,29.31813246471227,14.659066232356135,29.31813246471227,14.659066232356135
1,8,1024,2,14001,28002,27.345703125,13.6728515625,27.345703125,13.6728515625
1,8,1126,2,14501,29002,25.756660746003554,12.878330373001777,25.756660746003554,12.878330373001777
1,8,716,2,15001,30002,41.902234636871505,20.951117318435752,41.902234636871505,20.951117318435752
1,8,1433,2,15501,31002,21.634333565945568,10.817166782972784,21.634333565945568,10.817166782972784
1,8,1433,2,16001,32002,22.332170272156315,11.166085136078157,22.332170272156315,11.166085136078157
1,8,1228,2,16501,33002,26.87459283387622,13.43729641693811,26.87459283387622,13.43729641693811
1,8,1024,2,17001,34002,33.205078125,16.6025390625,33.205078125,16.6025390625
1,8,1433,2,17501,35002,24.425680390788557,12.212840195394278,24.425680390788557,12.212840195394278
1,8,1740,2,18001,36002,20.69080459770115,10.345402298850574,20.69080459770115,10.345402298850574
1,8,1331,2,18501,37002,27.80015026296018,13.90007513148009,27.80015026296018,13.90007513148009
1,8,2048,2,19001,38002,18.5556640625,9.27783203125,18.5556640625,9.27783203125
1,8,1740,2,19501,39002,22.414942528735633,11.207471264367816,22.414942528735633,11.207471264367816
1,8,1740,2,20001,40002,22.989655172413794,11.494827586206897,22.989655172413794,11.494827586206897
1,8,1740,2,20501,41002,23.564367816091956,11.782183908045978,23.564367816091956,11.782183908045978
1,8,1536,2,21001,42002,27.345052083333332,13.672526041666666,27.345052083333332,13.672526041666666
1,8,1638,2,21501,43002,26.252747252747252,13.126373626373626,26.252747252747252,13.126373626373626
1,8,1536,2,22001,44002,28.647135416666668,14.323567708333334,28.647135416666668,14.323567708333334
1,8,2150,2,22501,45002,20.931162790697673,10.465581395348837,20.931162790697673,10.465581395348837
1,8,2252,2,23001,46002,20.427175843694492,10.213587921847246,20.427175843694492,10.213587921847246
1,8,2355,2,23501,47002,19.958386411889595,9.979193205944798,19.958386411889595,9.979193205944798
1,8,3174,2,24001,48002,15.123503465658475,7.561751732829237,15.123503465658475,7.561751732829237
1,8,2764,2,24501,49002,17.728654124457307,8.864327062228654,17.728654124457307,8.864327062228654
1,8,1945,2,25001,50002,25.70796915167095,12.853984575835476,25.70796915167095,12.853984575835476
1,8,2150,2,25501,51002,23.72186046511628,11.86093023255814,23.72186046511628,11.86093023255814
1,8,2457,2,26001,52002,21.164835164835164,10.582417582417582,21.164835164835164,10.582417582417582
1,8,1536,2,26501,53002,34.506510416666664,17.253255208333332,34.506510416666664,17.253255208333332
1,8,1843,2,27001,54002,29.30113944655453,14.650569723277265,29.30113944655453,14.650569723277265
1,8,2048,2,27501,55002,26.8564453125,13.42822265625,26.8564453125,13.42822265625
1,8,1740,2,28001,56002,32.185057471264365,16.092528735632182,32.185057471264365,16.092528735632182
1,8,2355,2,28501,57002,24.20467091295117,12.102335456475585,24.20467091295117,12.102335456475585
1,8,2560,2,29001,58002,22.65703125,11.328515625,22.65703125,11.328515625
1,8,1945,2,29501,59002,30.33521850899743,15.167609254498714,30.33521850899743,15.167609254498714
1,8,2457,2,30001,60002,24.42083842083842,12.21041921041921,24.42083842083842,12.21041921041921
1,8,2560,2,30501,61002,23.82890625,11.914453125,23.82890625,11.914453125
1,8,2252,2,31001,62002,27.53197158081705,13.765985790408525,27.53197158081705,13.765985790408525
1,8,2764,2,31501,63002,22.793777134587554,11.396888567293777,22.793777134587554,11.396888567293777
1,8,2560,2,32001,64002,25.00078125,12.500390625,25.00078125,12.500390625
1,8,2560,2,32501,65002,25.39140625,12.695703125,25.39140625,12.695703125
1,8,3481,2,33001,66002,18.960643493249066,9.480321746624533,18.960643493249066,9.480321746624533
1,8,2560,2,33501,67002,26.17265625,13.086328125,26.17265625,13.086328125
1,8,2048,2,34001,68002,33.2041015625,16.60205078125,33.2041015625,16.60205078125
1,8,2355,2,34501,69002,29.300212314225053,14.650106157112527,29.300212314225053,14.650106157112527
1,8,3276,2,35001,70002,21.36813186813187,10.684065934065934,21.36813186813187,10.684065934065934
1,8,2355,2,35501,71002,30.149469214437367,15.074734607218684,30.149469214437367,15.074734607218684
1,8,2252,2,36001,72002,31.97246891651865,15.986234458259325,31.97246891651865,15.986234458259325
1,8,1945,2,36501,73002,37.53316195372751,18.766580976863754,37.53316195372751,18.766580976863754
1,8,4198,2,37001,74002,17.627918056217247,8.813959028108624,17.627918056217247,8.813959028108624
1,8,1945,2,37501,75002,38.56143958868895,19.280719794344474,38.56143958868895,19.280719794344474
1,8,2867,2,38001,76002,26.50924311126613,13.254621555633065,26.50924311126613,13.254621555633065
1,8,6963,2,38501,77002,11.058739049260376,5.529369524630188,11.058739049260376,5.529369524630188
1,8,2969,2,39001,78002,26.272145503536546,13.136072751768273,26.272145503536546,13.136072751768273
1,8,2764,2,39501,79002,28.582489146164978,14.291244573082489,28.582489146164978,14.291244573082489
1,8,2457,2,40001,80002,32.560846560846564,16.280423280423282,32.560846560846564,16.280423280423282
1,8,3481,2,40501,81002,23.269750071818443,11.634875035909221,23.269750071818443,11.634875035909221
1,8,3072,2,41001,82002,26.693359375,13.3466796875,26.693359375,13.3466796875
1,8,2560,2,41501,83002,32.42265625,16.211328125,32.42265625,16.211328125
1,8,3891,2,42001,84002,21.588794654330506,10.794397327165253,21.588794654330506,10.794397327165253
1,8,2457,2,42501,85002,34.595848595848594,17.297924297924297,34.595848595848594,17.297924297924297
1,8,2969,2,43001,86002,28.966655439541935,14.483327719770967,28.966655439541935,14.483327719770967
1,8,2969,2,43501,87002,29.303469181542606,14.651734590771303,29.303469181542606,14.651734590771303
1,8,2662,2,44001,88002,33.058602554470326,16.529301277235163,33.058602554470326,16.529301277235163
1,8,2457,2,44501,89002,36.22385022385022,18.11192511192511,36.22385022385022,18.11192511192511
1,8,3993,2,45001,90002,22.53994490358127,11.269972451790634,22.53994490358127,11.269972451790634
1,8,2150,2,45501,91002,42.326511627906974,21.163255813953487,42.326511627906974,21.163255813953487
1,8,3072,2,46001,92002,29.948567708333332,14.974283854166666,29.948567708333332,14.974283854166666
1,8,4915,2,46501,93002,18.92207527975585,9.461037639877924,18.92207527975585,9.461037639877924
1,8,3686,2,47001,94002,25.50244167118828,12.75122083559414,25.50244167118828,12.75122083559414
1,8,4812,2,47501,95002,19.742726517040733,9.871363258520367,19.742726517040733,9.871363258520367
1,8,5836,2,48001,96002,16.449965729952023,8.224982864976011,16.449965729952023,8.224982864976011
1,8,3379,2,48501,97002,28.707309854986683,14.353654927493341,28.707309854986683,14.353654927493341
1,8,4608,2,49001,98002,21.26779513888889,10.633897569444445,21.26779513888889,10.633897569444445
