N_Scheduler,N_Available_Sched,Time,N_processes,N_products,N_processes*N_products,N_products*N_process / time,N_products*N_processes/ (time*n_process),N_products*N_process/(time*N_Schedulers),N_products*N_processes/(time*N_processes*N_Schedulers)
1,8,22,1,1,1,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
1,8,47,1,501,501,10.659574468085106,10.659574468085106,10.659574468085106,10.659574468085106
1,8,74,1,1001,1001,13.527027027027026,13.527027027027026,13.527027027027026,13.527027027027026
1,8,131,1,1501,1501,11.458015267175572,11.458015267175572,11.458015267175572,11.458015267175572
1,8,164,1,2001,2001,12.201219512195122,12.201219512195122,12.201219512195122,12.201219512195122
1,8,143,1,2501,2501,17.48951048951049,17.48951048951049,17.48951048951049,17.48951048951049
1,8,229,1,3001,3001,13.104803493449781,13.104803493449781,13.104803493449781,13.104803493449781
1,8,221,1,3501,3501,15.841628959276019,15.841628959276019,15.841628959276019,15.841628959276019
1,8,191,1,4001,4001,20.94764397905759,20.94764397905759,20.94764397905759,20.94764397905759
1,8,118,1,4501,4501,38.144067796610166,38.144067796610166,38.144067796610166,38.144067796610166
1,8,141,1,5001,5001,35.46808510638298,35.46808510638298,35.46808510638298,35.46808510638298
1,8,214,1,5501,5501,25.705607476635514,25.705607476635514,25.705607476635514,25.705607476635514
1,8,180,1,6001,6001,33.33888888888889,33.33888888888889,33.33888888888889,33.33888888888889
1,8,313,1,6501,6501,20.769968051118212,20.769968051118212,20.769968051118212,20.769968051118212
1,8,217,1,7001,7001,32.26267281105991,32.26267281105991,32.26267281105991,32.26267281105991
1,8,187,1,7501,7501,40.11229946524064,40.11229946524064,40.11229946524064,40.11229946524064
1,8,242,1,8001,8001,33.06198347107438,33.06198347107438,33.06198347107438,33.06198347107438
1,8,181,1,8501,8501,46.966850828729285,46.966850828729285,46.966850828729285,46.966850828729285
1,8,596,1,9001,9001,15.10234899328859,15.10234899328859,15.10234899328859,15.10234899328859
1,8,465,1,9501,9501,20.43225806451613,20.43225806451613,20.43225806451613,20.43225806451613
1,8,342,1,10001,10001,29.242690058479532,29.242690058479532,29.242690058479532,29.242690058479532
1,8,28,2,1,2,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571
1,8,58,2,501,1002,17.275862068965516,8.637931034482758,17.275862068965516,8.637931034482758
1,8,78,2,1001,2002,25.666666666666668,12.833333333333334,25.666666666666668,12.833333333333334
1,8,114,2,1501,3002,26.333333333333332,13.166666666666666,26.333333333333332,13.166666666666666
1,8,158,2,2001,4002,25.329113924050635,12.664556962025317,25.329113924050635,12.664556962025317
1,8,203,2,2501,5002,24.64039408866995,12.320197044334975,24.64039408866995,12.320197044334975
1,8,302,2,3001,6002,19.874172185430464,9.937086092715232,19.874172185430464,9.937086092715232
1,8,248,2,3501,7002,28.233870967741936,14.116935483870968,28.233870967741936,14.116935483870968
1,8,266,2,4001,8002,30.082706766917294,15.041353383458647,30.082706766917294,15.041353383458647
1,8,346,2,4501,9002,26.017341040462426,13.008670520231213,26.017341040462426,13.008670520231213
1,8,297,2,5001,10002,33.676767676767675,16.838383838383837,33.676767676767675,16.838383838383837
1,8,466,2,5501,11002,23.609442060085836,11.804721030042918,23.609442060085836,11.804721030042918
1,8,510,2,6001,12002,23.533333333333335,11.766666666666667,23.533333333333335,11.766666666666667
1,8,404,2,6501,13002,32.18316831683168,16.09158415841584,32.18316831683168,16.09158415841584
1,8,699,2,7001,14002,20.031473533619458,10.015736766809729,20.031473533619458,10.015736766809729
1,8,634,2,7501,15002,23.662460567823345,11.831230283911673,23.662460567823345,11.831230283911673
1,8,725,2,8001,16002,22.071724137931035,11.035862068965518,22.071724137931035,11.035862068965518
1,8,1108,2,8501,17002,15.344765342960288,7.672382671480144,15.344765342960288,7.672382671480144
1,8,981,2,9001,18002,18.350662589194698,9.175331294597349,18.350662589194698,9.175331294597349
1,8,956,2,9501,19002,19.876569037656903,9.938284518828452,19.876569037656903,9.938284518828452
1,8,901,2,10001,20002,22.199778024417313,11.099889012208656,22.199778024417313,11.099889012208656
1,8,33,3,1,3,0.09090909090909091,0.030303030303030304,0.09090909090909091,0.030303030303030304
1,8,88,3,501,1503,17.079545454545453,5.693181818181818,17.079545454545453,5.693181818181818
1,8,130,3,1001,3003,23.1,7.7,23.1,7.7
1,8,191,3,1501,4503,23.57591623036649,7.858638743455497,23.57591623036649,7.858638743455497
1,8,320,3,2001,6003,18.759375,6.253125,18.759375,6.253125
1,8,286,3,2501,7503,26.234265734265733,8.744755244755245,26.234265734265733,8.744755244755245
1,8,421,3,3001,9003,21.38479809976247,7.128266033254157,21.38479809976247,7.128266033254157
1,8,371,3,3501,10503,28.3099730458221,9.436657681940702,28.3099730458221,9.436657681940702
1,8,465,3,4001,12003,25.81290322580645,8.604301075268816,25.81290322580645,8.604301075268816
1,8,952,3,4501,13503,14.183823529411764,4.727941176470588,14.183823529411764,4.727941176470588
1,8,755,3,5001,15003,19.871523178807948,6.623841059602649,19.871523178807948,6.623841059602649
1,8,724,3,5501,16503,22.794198895027623,7.598066298342541,22.794198895027623,7.598066298342541
1,8,1224,3,6001,18003,14.708333333333334,4.902777777777778,14.708333333333334,4.902777777777778
1,8,835,3,6501,19503,23.35688622754491,7.78562874251497,23.35688622754491,7.78562874251497
1,8,1518,3,7001,21003,13.83596837944664,4.611989459815547,13.83596837944664,4.611989459815547
1,8,1038,3,7501,22503,21.679190751445088,7.226396917148362,21.679190751445088,7.226396917148362
1,8,989,3,8001,24003,24.269969666329626,8.089989888776541,24.269969666329626,8.089989888776541
1,8,1384,3,8501,25503,18.427023121387283,6.142341040462428,18.427023121387283,6.142341040462428
1,8,1028,3,9001,27003,26.26750972762646,8.755836575875486,26.26750972762646,8.755836575875486
1,8,1077,3,9501,28503,26.465181058495823,8.821727019498606,26.465181058495823,8.821727019498606
1,8,1747,3,10001,30003,17.1740125930166,5.724670864338867,17.1740125930166,5.724670864338867
1,8,59,4,1,4,0.06779661016949153,0.01694915254237288,0.06779661016949153,0.01694915254237288
1,8,179,4,501,2004,11.195530726256983,2.798882681564246,11.195530726256983,2.798882681564246
1,8,249,4,1001,4004,16.080321285140563,4.020080321285141,16.080321285140563,4.020080321285141
1,8,359,4,1501,6004,16.724233983286908,4.181058495821727,16.724233983286908,4.181058495821727
1,8,395,4,2001,8004,20.263291139240508,5.065822784810127,20.263291139240508,5.065822784810127
1,8,411,4,2501,10004,24.340632603406327,6.085158150851582,24.340632603406327,6.085158150851582
1,8,446,4,3001,12004,26.91479820627803,6.728699551569507,26.91479820627803,6.728699551569507
1,8,675,4,3501,14004,20.746666666666666,5.1866666666666665,20.746666666666666,5.1866666666666665
1,8,768,4,4001,16004,20.838541666666668,5.209635416666667,20.838541666666668,5.209635416666667
1,8,713,4,4501,18004,25.251051893408135,6.312762973352034,25.251051893408135,6.312762973352034
1,8,945,4,5001,20004,21.168253968253968,5.292063492063492,21.168253968253968,5.292063492063492
1,8,674,4,5501,22004,32.646884272997035,8.161721068249259,32.646884272997035,8.161721068249259
1,8,1130,4,6001,24004,21.242477876106193,5.310619469026548,21.242477876106193,5.310619469026548
1,8,807,4,6501,26004,32.22304832713755,8.055762081784387,32.22304832713755,8.055762081784387
1,8,759,4,7001,28004,36.895915678524375,9.223978919631094,36.895915678524375,9.223978919631094
