N_Scheduler,N_Available_Sched,Time,N_processes,N_products,N_processes*N_products,N_products*N_process / time,N_products*N_processes/ (time*n_process),N_products*N_process/(time*N_Schedulers),N_products*N_processes/(time*N_processes*N_Schedulers)
1,8,26,1,1,1,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
1,8,47,1,501,501,10.659574468085106,10.659574468085106,10.659574468085106,10.659574468085106
1,8,52,1,1001,1001,19.25,19.25,19.25,19.25
1,8,84,1,1501,1501,17.86904761904762,17.86904761904762,17.86904761904762,17.86904761904762
1,8,93,1,2001,2001,21.516129032258064,21.516129032258064,21.516129032258064,21.516129032258064
1,8,83,1,2501,2501,30.132530120481928,30.132530120481928,30.132530120481928,30.132530120481928
1,8,132,1,3001,3001,22.734848484848484,22.734848484848484,22.734848484848484,22.734848484848484
1,8,133,1,3501,3501,26.32330827067669,26.32330827067669,26.32330827067669,26.32330827067669
1,8,148,1,4001,4001,27.033783783783782,27.033783783783782,27.033783783783782,27.033783783783782
1,8,161,1,4501,4501,27.956521739130434,27.956521739130434,27.956521739130434,27.956521739130434
1,8,209,1,5001,5001,23.928229665071772,23.928229665071772,23.928229665071772,23.928229665071772
1,8,170,1,5501,5501,32.358823529411765,32.358823529411765,32.358823529411765,32.358823529411765
1,8,185,1,6001,6001,32.43783783783784,32.43783783783784,32.43783783783784,32.43783783783784
1,8,326,1,6501,6501,19.941717791411044,19.941717791411044,19.941717791411044,19.941717791411044
1,8,288,1,7001,7001,24.30902777777778,24.30902777777778,24.30902777777778,24.30902777777778
1,8,215,1,7501,7501,34.88837209302326,34.88837209302326,34.88837209302326,34.88837209302326
1,8,273,1,8001,8001,29.307692307692307,29.307692307692307,29.307692307692307,29.307692307692307
1,8,366,1,8501,8501,23.226775956284154,23.226775956284154,23.226775956284154,23.226775956284154
1,8,276,1,9001,9001,32.61231884057971,32.61231884057971,32.61231884057971,32.61231884057971
1,8,541,1,9501,9501,17.56192236598891,17.56192236598891,17.56192236598891,17.56192236598891
1,8,362,1,10001,10001,27.62707182320442,27.62707182320442,27.62707182320442,27.62707182320442
1,8,45,2,1,2,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.022222222222222223
1,8,104,2,501,1002,9.634615384615385,4.8173076923076925,9.634615384615385,4.8173076923076925
1,8,140,2,1001,2002,14.3,7.15,14.3,7.15
1,8,163,2,1501,3002,18.41717791411043,9.208588957055214,18.41717791411043,9.208588957055214
